Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,2009ntbi,6,"Sunday, November  8, 2009 22:18:25 UTC",-22.7064,-175.9170,5.3,35.00,110,"Tonga region"
ak,10019391,2,"Sunday, November  8, 2009 22:11:43 UTC",59.3654,-139.0957,2.0,14.90,12,"Southeastern Alaska"
ak,10019763,2,"Sunday, November  8, 2009 21:59:14 UTC",54.9970,-132.9105,2.6,11.20,10,"Dixon Entrance region, Usa-Canada"
nc,71306960,2,"Sunday, November  8, 2009 21:55:09 UTC",37.4153,-118.5243,1.0,10.20,14,"Central California"
ak,10019388,2,"Sunday, November  8, 2009 21:40:01 UTC",63.2170,-149.2945,1.7,89.60,28,"Central Alaska"
ci,10494157,M,"Sunday, November  8, 2009 21:30:33 UTC",32.6583,-115.6476,1.8,5.20,16,"Southern California"
mb,21377,1,"Sunday, November  8, 2009 21:22:35 UTC",47.8096,-114.0548,1.0,5.70, 6,"western Montana"
ak,10019759,2,"Sunday, November  8, 2009 21:15:09 UTC",61.4763,-146.6942,1.2,31.50,10,"Southern Alaska"
ci,10494133,M,"Sunday, November  8, 2009 21:10:42 UTC",34.1143,-116.9161,1.2,10.00,35,"Southern California"
ak,10019758,2,"Sunday, November  8, 2009 21:08:58 UTC",54.9691,-132.9459,2.3,6.70, 5,"Dixon Entrance region, Usa-Canada"
nc,71306945,2,"Sunday, November  8, 2009 21:08:51 UTC",37.4140,-118.5232,1.5,10.50,31,"Central California"
ci,10494125,M,"Sunday, November  8, 2009 21:03:46 UTC",32.6481,-115.6386,1.4,4.60,16,"Baja California, Mexico"
ak,10019387,2,"Sunday, November  8, 2009 21:02:02 UTC",51.7294,-176.6636,3.5,66.60,21,"Andreanof Islands, Aleutian Islands, Alaska"
at,00771368,1,"Sunday, November  8, 2009 20:54:43 UTC",55.0170,-132.4770,4.0,1.00,08,"Southeastern Alaska"
us,2009ntbd,7,"Sunday, November  8, 2009 20:35:22 UTC",6.5758,60.2556,5.4,10.00,26,"Carlsberg Ridge"
ak,10019385,2,"Sunday, November  8, 2009 20:28:54 UTC",63.2469,-151.0642,1.1,16.30,10,"Central Alaska"
ak,10019754,2,"Sunday, November  8, 2009 20:27:23 UTC",59.6775,-152.3213,1.6,59.30,15,"Southern Alaska"
nc,71306925,2,"Sunday, November  8, 2009 20:26:10 UTC",38.7713,-122.7340,1.7,2.10,58,"Northern California"
ak,10019382,2,"Sunday, November  8, 2009 20:14:50 UTC",60.7074,-149.9573,1.6,37.90,16,"Kenai Peninsula, Alaska"
hv,00035816,0,"Sunday, November  8, 2009 20:08:57 UTC",19.2255,-155.4797,2.0,7.60,00,"Island of Hawaii, Hawaii"
ak,10019374,2,"Sunday, November  8, 2009 19:44:55 UTC",51.3046,-178.0423,2.4,28.60,15,"Andreanof Islands, Aleutian Islands, Alaska"
us,2009nta5,7,"Sunday, November  8, 2009 19:41:46 UTC",-8.2696,118.6332,6.6,32.90,242,"Sumbawa region, Indonesia"
nn,00297360,2,"Sunday, November  8, 2009 19:31:13 UTC",37.7210,-114.9740,1.9,0.00, 5,"Nevada"
ci,10494109,M,"Sunday, November  8, 2009 19:28:33 UTC",34.6910,-116.3018,2.0,2.30,38,"Southern California"
ci,10494101,M,"Sunday, November  8, 2009 19:22:04 UTC",34.6926,-116.2986,1.4,4.20,25,"Southern California"
ci,10494093,M,"Sunday, November  8, 2009 19:20:55 UTC",34.6911,-116.3038,1.6,3.80,18,"Southern California"
ak,10019373,2,"Sunday, November  8, 2009 18:39:36 UTC",61.0965,-146.8685,1.3,22.40,15,"Southern Alaska"
nn,00297358,2,"Sunday, November  8, 2009 18:34:37 UTC",37.2360,-114.7140,3.4,0.00, 4,"Nevada"
nc,71306895,4,"Sunday, November  8, 2009 18:30:32 UTC",39.4757,-123.1048,1.7,5.60,21,"Northern California"
ci,10494077,M,"Sunday, November  8, 2009 18:03:21 UTC",33.8891,-117.0645,2.2,16.60,94,"Southern California"
ci,10494069,M,"Sunday, November  8, 2009 17:48:11 UTC",32.6743,-115.6226,2.1,15.00,22,"Southern California"
ci,10494037,M,"Sunday, November  8, 2009 16:52:27 UTC",36.3916,-117.8661,1.1,2.10,17,"Central California"
ak,10019746,2,"Sunday, November  8, 2009 16:48:10 UTC",63.2657,-151.0990,1.0,11.10, 8,"Central Alaska"
ci,10494029,M,"Sunday, November  8, 2009 16:45:35 UTC",32.6543,-115.6393,2.4,5.40,34,"Southern California"
ci,10494005,M,"Sunday, November  8, 2009 16:10:37 UTC",32.6386,-115.6313,1.4,5.10,19,"Baja California, Mexico"
ak,10019369,2,"Sunday, November  8, 2009 15:58:38 UTC",65.8228,-150.9765,1.5,5.10,11,"northern Alaska"
ci,10139442,M,"Sunday, November  8, 2009 15:56:37 UTC",32.6495,-115.6471,1.2,4.60,07,"Baja California, Mexico"
ci,10493997,M,"Sunday, November  8, 2009 15:56:15 UTC",33.4998,-116.4536,1.3,9.80,42,"Southern California"
ci,10493989,M,"Sunday, November  8, 2009 15:51:09 UTC",32.6575,-115.6446,1.5,5.40,18,"Southern California"
ak,10019366,2,"Sunday, November  8, 2009 15:46:50 UTC",62.1368,-150.0783,1.6,46.60,22,"Central Alaska"
us,2009ntaw,7,"Sunday, November  8, 2009 15:46:09 UTC",-15.9588,167.9130,5.5,179.30,61,"Vanuatu"
ci,10493981,M,"Sunday, November  8, 2009 15:25:38 UTC",32.6563,-115.6460,1.9,5.20,17,"Southern California"
ci,10493965,M,"Sunday, November  8, 2009 15:21:20 UTC",32.6426,-115.6430,2.2,4.90,28,"Baja California, Mexico"
ak,10019364,2,"Sunday, November  8, 2009 15:14:09 UTC",59.0219,-152.5870,2.6,53.90,52,"Southern Alaska"
ci,10493957,M,"Sunday, November  8, 2009 15:13:37 UTC",32.6513,-115.6355,1.7,5.20,17,"Baja California, Mexico"
ci,10493949,M,"Sunday, November  8, 2009 15:12:04 UTC",32.6378,-115.6301,1.0,5.30,10,"Baja California, Mexico"
nn,00297348,2,"Sunday, November  8, 2009 15:08:03 UTC",36.7330,-115.8890,2.1,0.00,34,"Nevada"
ci,10140082,M,"Sunday, November  8, 2009 15:02:53 UTC",32.6209,-115.6253,1.8,4.40,14,"Baja California, Mexico"
ci,10493941,M,"Sunday, November  8, 2009 15:02:30 UTC",32.6513,-115.6451,1.9,4.70,23,"Baja California, Mexico"
ci,10493933,M,"Sunday, November  8, 2009 14:53:08 UTC",33.0713,-115.5630,1.4,8.10,31,"Southern California"
ci,10138970,M,"Sunday, November  8, 2009 14:28:24 UTC",32.6175,-115.6060,1.5,6.10,10,"Baja California, Mexico"
ci,10138966,M,"Sunday, November  8, 2009 14:28:11 UTC",32.6071,-115.6043,1.8,6.60,09,"Baja California, Mexico"
ci,10493925,M,"Sunday, November  8, 2009 14:28:06 UTC",32.6431,-115.6351,1.6,4.90,12,"Baja California, Mexico"
ci,10493917,M,"Sunday, November  8, 2009 14:25:39 UTC",36.3936,-117.8433,1.8,4.90,21,"Central California"
ak,10019362,2,"Sunday, November  8, 2009 14:17:32 UTC",59.6667,-153.1439,2.2,105.80,33,"Southern Alaska"
ci,10493909,M,"Sunday, November  8, 2009 14:12:57 UTC",32.6466,-115.6415,1.4,7.00,18,"Baja California, Mexico"
ci,10493901,M,"Sunday, November  8, 2009 13:59:51 UTC",32.6596,-115.6518,2.8,4.90,35,"Southern California"
ci,10493893,M,"Sunday, November  8, 2009 13:59:14 UTC",33.9301,-116.0516,1.2,3.30,32,"Southern California"
ci,10493885,M,"Sunday, November  8, 2009 13:57:33 UTC",36.3970,-117.8450,1.9,4.60,22,"Central California"
nc,71306850,2,"Sunday, November  8, 2009 13:56:26 UTC",38.7838,-122.7563,1.4,0.40,46,"Northern California"
ci,10140006,M,"Sunday, November  8, 2009 13:53:12 UTC",32.6541,-115.6425,1.8,5.10,16,"Southern California"
ci,10140002,M,"Sunday, November  8, 2009 13:52:45 UTC",32.6489,-115.6445,1.9,3.90,16,"Baja California, Mexico"
ci,10493877,M,"Sunday, November  8, 2009 13:52:21 UTC",32.6540,-115.6501,2.4,4.90,23,"Southern California"
ak,10019740,2,"Sunday, November  8, 2009 13:44:08 UTC",59.9459,-152.2898,1.3,70.50,09,"Southern Alaska"
uu,11081333,2,"Sunday, November  8, 2009 13:33:47 UTC",39.7363,-110.9162,1.4,3.00, 8,"Utah"
ci,10493869,M,"Sunday, November  8, 2009 13:21:55 UTC",32.6481,-115.6435,1.9,4.60,24,"Baja California, Mexico"
ci,10493861,M,"Sunday, November  8, 2009 13:02:28 UTC",32.6538,-115.6475,1.8,5.00,26,"Southern California"
nc,71306825,2,"Sunday, November  8, 2009 12:48:20 UTC",35.9942,-120.5487,2.3,5.20,57,"Central California"
ci,10493837,M,"Sunday, November  8, 2009 12:37:28 UTC",35.7746,-117.9175,1.5,5.60,23,"Southern California"
nc,71306820,2,"Sunday, November  8, 2009 12:34:58 UTC",37.8635,-121.8093,1.6,14.10,22,"San Francisco Bay area, California"
ci,10493829,M,"Sunday, November  8, 2009 12:05:37 UTC",36.4135,-117.8486,1.4,4.70,21,"Central California"
nc,71306805,2,"Sunday, November  8, 2009 12:00:58 UTC",36.4598,-121.0388,1.9,5.40,51,"Central California"
ci,10493821,M,"Sunday, November  8, 2009 11:55:10 UTC",36.4181,-117.8465,1.2,5.90,21,"Central California"
ak,10019361,2,"Sunday, November  8, 2009 11:47:33 UTC",61.4574,-141.3829,1.4,5.80,14,"Southern Alaska"
pr,p0931203,1,"Sunday, November  8, 2009 11:40:34 UTC",18.8368,-67.6148,2.8,10.00,12,"Puerto Rico region"
ak,10019358,2,"Sunday, November  8, 2009 11:39:59 UTC",62.4011,-148.1599,1.8,7.40,31,"Central Alaska"
ci,10493805,M,"Sunday, November  8, 2009 11:23:00 UTC",32.6521,-115.6443,2.4,5.00,29,"Baja California, Mexico"
ci,10493813,M,"Sunday, November  8, 2009 11:20:57 UTC",32.6218,-115.6373,1.7,3.50,11,"Baja California, Mexico"
ci,10138974,M,"Sunday, November  8, 2009 11:20:48 UTC",32.6610,-115.6556,1.4,6.70,09,"Southern California"
nc,71306800,2,"Sunday, November  8, 2009 11:15:20 UTC",37.9248,-122.3105,1.0,4.50,32,"San Francisco Bay area, California"
us,2009ntaq,6,"Sunday, November  8, 2009 11:08:40 UTC",35.9364,-114.8479,2.5,5.00,15,"Nevada"
ak,10019737,2,"Sunday, November  8, 2009 11:08:37 UTC",57.6853,-138.3693,2.7,12.20,19,"off the coast of Southeastern Alaska"
ci,10493773,M,"Sunday, November  8, 2009 11:00:36 UTC",32.6735,-115.6616,1.3,4.70,17,"Southern California"
nc,71306790,0,"Sunday, November  8, 2009 10:49:22 UTC",38.7770,-122.7293,1.0,2.10,14,"Northern California"
ak,10019736,2,"Sunday, November  8, 2009 10:49:07 UTC",53.4101,-163.1049,2.9,28.00,15,"Unimak Island region, Alaska"
us,2009ntar,Q,"Sunday, November  8, 2009 10:37:39 UTC",10.4371,127.4103,4.5,35.00,21,"Philippine Islands region"
ci,10493765,M,"Sunday, November  8, 2009 10:32:47 UTC",32.6555,-115.6440,1.3,6.40,15,"Southern California"
ci,10493757,M,"Sunday, November  8, 2009 10:27:12 UTC",32.6605,-115.6593,1.9,4.50,12,"Southern California"
ci,10139602,M,"Sunday, November  8, 2009 10:27:11 UTC",32.6608,-115.6653,1.0,4.90,10,"Southern California"
ci,10493749,M,"Sunday, November  8, 2009 10:16:14 UTC",32.6631,-115.6610,1.3,5.00,16,"Southern California"
ci,10493741,M,"Sunday, November  8, 2009 10:14:42 UTC",32.6608,-115.6576,1.7,4.70,18,"Southern California"
us,2009ntap,7,"Sunday, November  8, 2009 10:03:15 UTC",57.8752,-138.9001,4.3,10.00,40,"off the coast of Southeastern Alaska"
pr,p0931202,1,"Sunday, November  8, 2009 09:55:33 UTC",19.1647,-65.2507,3.1,0.00, 6,"Puerto Rico region"
ci,10493717,M,"Sunday, November  8, 2009 09:49:31 UTC",32.6495,-115.6388,1.9,4.60,27,"Baja California, Mexico"
ci,10493709,M,"Sunday, November  8, 2009 09:44:11 UTC",32.6476,-115.6351,1.5,5.30,18,"Baja California, Mexico"
ci,10493701,M,"Sunday, November  8, 2009 09:43:15 UTC",32.6513,-115.6450,1.9,5.00,24,"Baja California, Mexico"
nc,71306770,2,"Sunday, November  8, 2009 09:41:56 UTC",38.8035,-122.7398,1.8,2.40,49,"Northern California"
ak,10019734,2,"Sunday, November  8, 2009 09:23:11 UTC",52.5758,-166.8666,2.3,8.10, 8,"Fox Islands, Aleutian Islands, Alaska"
ci,10493693,M,"Sunday, November  8, 2009 09:21:23 UTC",36.3876,-117.8646,1.7,4.20,27,"Central California"
nc,71306745,2,"Sunday, November  8, 2009 08:16:04 UTC",38.2512,-122.1763,2.0,10.00,61,"Northern California"
ak,10019348,2,"Sunday, November  8, 2009 08:15:16 UTC",62.4479,-149.3773,1.4,46.20,16,"Central Alaska"
us,2009ntan,7,"Sunday, November  8, 2009 08:05:24 UTC",-35.0220,-111.2288,5.0,10.00,71,"southern East Pacific Rise"
ak,10019347,2,"Sunday, November  8, 2009 07:50:20 UTC",63.2646,-151.1327,1.2,11.50,11,"Central Alaska"
ak,10019346,2,"Sunday, November  8, 2009 07:49:00 UTC",62.4539,-151.3185,1.3,80.00, 9,"Central Alaska"
nc,71306740,2,"Sunday, November  8, 2009 07:44:38 UTC",38.7730,-122.7122,1.2,2.50,20,"Northern California"
ak,10019345,2,"Sunday, November  8, 2009 07:41:58 UTC",62.9513,-151.1127,1.3,110.00,13,"Central Alaska"
ci,10493677,M,"Sunday, November  8, 2009 07:29:40 UTC",32.5805,-115.5603,1.3,5.90,12,"Baja California, Mexico"
ak,10019344,2,"Sunday, November  8, 2009 07:19:52 UTC",61.8885,-149.5813,1.4,1.30,20,"Southern Alaska"
nc,71306720,0,"Sunday, November  8, 2009 07:10:12 UTC",38.8360,-122.8293,1.0,1.80,11,"Northern California"
ci,10493669,Q,"Sunday, November  8, 2009 07:04:04 UTC",33.0200,-116.3180,1.1,9.70,32,"Southern California"
ci,10493661,M,"Sunday, November  8, 2009 06:57:03 UTC",32.6000,-115.5661,1.1,5.60,15,"Baja California, Mexico"
us,2009ntak,7,"Sunday, November  8, 2009 06:51:17 UTC",37.6856,14.7754,4.3,10.00,27,"Sicily, Italy"
ci,10493653,M,"Sunday, November  8, 2009 06:46:02 UTC",32.8945,-115.7205,1.5,15.00,13,"Southern California"
ci,10493645,M,"Sunday, November  8, 2009 06:45:54 UTC",32.5701,-115.5575,1.6,4.10,18,"Baja California, Mexico"
ak,10019341,2,"Sunday, November  8, 2009 06:39:53 UTC",63.5362,-147.6739,1.5,9.40,26,"Central Alaska"
ak,10019725,2,"Sunday, November  8, 2009 06:31:05 UTC",52.5984,-166.8473,2.3,11.60, 8,"Fox Islands, Aleutian Islands, Alaska"
ci,10493621,M,"Sunday, November  8, 2009 06:04:33 UTC",32.5766,-115.5738,1.1,5.80,13,"Baja California, Mexico"
ak,10019723,2,"Sunday, November  8, 2009 06:00:54 UTC",60.6960,-150.3206,1.4,43.50,14,"Kenai Peninsula, Alaska"
ci,10139922,M,"Sunday, November  8, 2009 05:30:22 UTC",33.4976,-116.4846,1.2,15.90,22,"Southern California"
ci,10493613,M,"Sunday, November  8, 2009 05:30:13 UTC",33.4868,-116.4860,1.5,14.80,40,"Southern California"
ak,10019339,2,"Sunday, November  8, 2009 04:59:23 UTC",51.5548,-177.7524,1.9,16.20,13,"Andreanof Islands, Aleutian Islands, Alaska"
ci,10493597,M,"Sunday, November  8, 2009 04:57:01 UTC",33.6895,-116.7921,1.0,16.70,49,"Southern California"
ci,10493589,O,"Sunday, November  8, 2009 04:54:51 UTC",36.3986,-117.8666,2.6,3.80,31,"Central California"
ci,10493581,M,"Sunday, November  8, 2009 04:31:46 UTC",32.6501,-115.6361,1.6,8.00,24,"Baja California, Mexico"
ak,10019337,2,"Sunday, November  8, 2009 04:29:16 UTC",63.2212,-149.2582,1.5,85.00,25,"Central Alaska"
ci,10493573,M,"Sunday, November  8, 2009 04:23:54 UTC",32.6611,-115.6485,2.1,7.90,27,"Southern California"
ak,10019336,2,"Sunday, November  8, 2009 04:15:34 UTC",51.6254,178.7249,1.7,29.70,05,"Rat Islands, Aleutian Islands, Alaska"
nc,71306670,2,"Sunday, November  8, 2009 03:22:32 UTC",39.8795,-123.5423,1.6,0.80,10,"Northern California"
ci,10493565,M,"Sunday, November  8, 2009 03:20:10 UTC",34.2478,-116.4270,1.9,4.60,57,"Southern California"
ak,10019333,2,"Sunday, November  8, 2009 03:11:11 UTC",62.0076,-150.9331,1.9,64.60,31,"Central Alaska"
ak,10019329,2,"Sunday, November  8, 2009 02:46:59 UTC",60.1955,-153.0428,2.6,119.10,55,"Southern Alaska"
ak,10019328,2,"Sunday, November  8, 2009 02:41:10 UTC",61.4682,-146.6684,1.6,19.70,23,"Southern Alaska"
ci,10493557,O,"Sunday, November  8, 2009 02:40:07 UTC",34.3858,-116.6805,1.4,2.80,54,"Southern California"
ci,10493549,O,"Sunday, November  8, 2009 02:28:28 UTC",32.5625,-115.5543,2.0,13.60,23,"Baja California, Mexico"
nc,71306660,2,"Sunday, November  8, 2009 02:16:38 UTC",37.4197,-118.5865,1.8,14.30,41,"Central California"
ci,10493533,O,"Sunday, November  8, 2009 02:13:16 UTC",34.0085,-117.1071,1.3,15.90,52,"Greater Los Angeles area, California"
us,2009ntae,8,"Sunday, November  8, 2009 02:11:14 UTC",38.6111,69.5371,4.8,10.00,20,"Tajikistan"
ak,10019326,2,"Sunday, November  8, 2009 01:47:27 UTC",63.1791,-149.4019,1.6,90.50,31,"Central Alaska"
nc,71306645,2,"Sunday, November  8, 2009 01:17:14 UTC",38.8247,-122.7533,1.5,0.90,41,"Northern California"
uw,11080109,1,"Sunday, November  8, 2009 01:09:07 UTC",45.1388,-120.9536,1.8,17.80,24,"Oregon"
us,2009ntac,7,"Sunday, November  8, 2009 01:08:44 UTC",-18.2064,-178.3662,4.5,592.90,44,"Fiji region"
ak,10019323,2,"Sunday, November  8, 2009 00:49:18 UTC",64.2731,-146.0621,1.2,5.30,14,"Central Alaska"
ak,10019712,2,"Sunday, November  8, 2009 00:38:18 UTC",53.8528,-164.5129,2.3,25.60,10,"Unimak Island region, Alaska"
pr,p0931201,1,"Sunday, November  8, 2009 00:34:30 UTC",18.0838,-66.9140,2.5,47.50, 7,"Puerto Rico"
ak,10019320,2,"Sunday, November  8, 2009 00:27:49 UTC",63.5695,-152.6170,2.5,11.80,32,"Central Alaska"
ak,10019710,2,"Sunday, November  8, 2009 00:22:38 UTC",53.4680,-165.3251,2.0,12.40, 7,"Fox Islands, Aleutian Islands, Alaska"
nc,71306625,2,"Saturday, November  7, 2009 23:22:28 UTC",38.8408,-122.8305,1.4,2.30,41,"Northern California"
nc,71306620,2,"Saturday, November  7, 2009 23:19:18 UTC",38.8430,-122.8275,1.9,2.40,53,"Northern California"
ak,10019317,2,"Saturday, November  7, 2009 22:55:16 UTC",61.5929,-146.4773,1.8,28.70,28,"Southern Alaska"
ak,10019316,2,"Saturday, November  7, 2009 22:36:17 UTC",60.4334,-151.1605,2.0,10.70,25,"Kenai Peninsula, Alaska"
ci,10493509,M,"Saturday, November  7, 2009 22:20:29 UTC",33.4823,-116.4820,1.9,14.90,63,"Southern California"
ak,10019315,2,"Saturday, November  7, 2009 22:14:09 UTC",61.5101,-146.4844,1.8,14.70,32,"Southern Alaska"
nn,00297319,2,"Saturday, November  7, 2009 21:05:13 UTC",37.2669,-115.5680,1.3,0.00,13,"Nevada"
ak,10019696,2,"Saturday, November  7, 2009 20:55:45 UTC",57.9603,-154.4523,1.9,74.10,12,"Kodiak Island region, Alaska"
us,2009nsa9,6,"Saturday, November  7, 2009 20:55:44 UTC",6.5641,126.7804,4.5,80.50,11,"Mindanao, Philippines"
nc,71306610,2,"Saturday, November  7, 2009 20:53:22 UTC",39.2335,-121.3270,2.2,0.00,26,"Northern California"
mb,9205068,2,"Saturday, November  7, 2009 20:49:32 UTC",46.9333,-112.1128,2.2,8.20,34,"western Montana"
nn,00297317,2,"Saturday, November  7, 2009 20:08:57 UTC",37.8089,-115.8920,1.6,10.40,10,"Nevada"
us,2009nsa3,9,"Saturday, November  7, 2009 20:08:46 UTC",29.5161,86.0552,5.4,7.10,147,"western Xizang"
nn,00297316,2,"Saturday, November  7, 2009 20:07:27 UTC",37.8130,-115.8900,1.9,2.70, 8,"Nevada"
nc,71306595,2,"Saturday, November  7, 2009 19:54:06 UTC",37.8207,-121.9347,1.4,6.50,17,"San Francisco Bay area, California"
nc,71306590,2,"Saturday, November  7, 2009 19:47:12 UTC",38.8138,-122.7947,1.0,3.70,34,"Northern California"
ci,10493477,M,"Saturday, November  7, 2009 19:27:55 UTC",36.4135,-117.8471,2.2,6.70,29,"Central California"
nc,71306570,2,"Saturday, November  7, 2009 19:26:44 UTC",37.4762,-118.8320,1.0,5.00,22,"Central California"
uu,11071838,2,"Saturday, November  7, 2009 18:37:06 UTC",44.3945,-111.0330,1.4,3.40,15,"Yellowstone National Park, Wyoming"
ak,10019309,2,"Saturday, November  7, 2009 18:35:31 UTC",63.3223,-145.2883,1.4,3.80,13,"Central Alaska"
nc,71306560,2,"Saturday, November  7, 2009 18:34:36 UTC",37.9507,-118.6260,1.1,8.20,11,"Central California"
nc,71306550,2,"Saturday, November  7, 2009 18:10:50 UTC",38.7857,-122.7707,1.0,3.90,34,"Northern California"
ak,10019691,2,"Saturday, November  7, 2009 18:00:54 UTC",51.8020,179.7030,2.1,100.40, 7,"Rat Islands, Aleutian Islands, Alaska"
ak,10019306,2,"Saturday, November  7, 2009 17:40:51 UTC",62.9720,-151.1514,2.2,126.50,43,"Central Alaska"
ci,10493461,M,"Saturday, November  7, 2009 17:37:23 UTC",32.8116,-115.6115,1.5,12.90,11,"Southern California"
nc,71306535,4,"Saturday, November  7, 2009 17:31:46 UTC",36.7035,-121.3390,2.4,4.80,65,"Central California"
ak,10019689,2,"Saturday, November  7, 2009 17:03:16 UTC",59.7073,-151.7654,1.6,57.30,11,"Kenai Peninsula, Alaska"
mb,9810454,2,"Saturday, November  7, 2009 17:02:48 UTC",47.5236,-113.8611,1.0,17.30,21,"western Montana"
ak,10019688,2,"Saturday, November  7, 2009 16:53:25 UTC",63.2677,-151.1617,1.0,4.30, 9,"Central Alaska"
hv,00035806,0,"Saturday, November  7, 2009 16:46:09 UTC",19.2193,-156.2568,2.0,6.40, 0,"Hawaii region, Hawaii"
ci,10493437,M,"Saturday, November  7, 2009 16:42:22 UTC",33.9300,-116.0471,1.3,5.00,27,"Southern California"
ak,10019305,2,"Saturday, November  7, 2009 16:39:36 UTC",66.5026,-147.9608,1.5,25.40,13,"northern Alaska"
ak,10019303,2,"Saturday, November  7, 2009 16:24:12 UTC",63.2053,-151.4144,1.5,11.40,14,"Central Alaska"
ak,10019684,2,"Saturday, November  7, 2009 15:57:46 UTC",61.4370,-146.7754,1.2,0.20, 7,"Southern Alaska"
ak,10019302,2,"Saturday, November  7, 2009 15:50:59 UTC",62.3584,-148.6400,1.5,43.00,26,"Central Alaska"
nc,71306520,4,"Saturday, November  7, 2009 15:36:06 UTC",38.7848,-122.7350,1.4,2.10,41,"Northern California"
us,2009nsax,6,"Saturday, November  7, 2009 15:02:47 UTC",-24.3910,179.8130,4.8,499.70,48,"south of the Fiji Islands"
nc,71306515,2,"Saturday, November  7, 2009 15:01:37 UTC",38.8232,-122.8052,1.0,3.30,25,"Northern California"
nc,71306510,2,"Saturday, November  7, 2009 14:53:28 UTC",38.8197,-122.8278,1.0,1.80,32,"Northern California"
ak,10019300,2,"Saturday, November  7, 2009 14:49:26 UTC",61.8853,-151.0959,1.6,71.00,21,"Southern Alaska"
ak,10019294,2,"Saturday, November  7, 2009 14:33:57 UTC",61.9567,-147.6055,2.8,29.10,85,"Southern Alaska"
nc,71306500,2,"Saturday, November  7, 2009 14:05:08 UTC",38.7685,-122.7088,1.0,3.10,30,"Northern California"
hv,00035804,0,"Saturday, November  7, 2009 12:52:01 UTC",19.4577,-155.4732,2.2,8.50, 0,"Island of Hawaii, Hawaii"
ak,10019290,2,"Saturday, November  7, 2009 12:51:02 UTC",60.2088,-151.8827,1.8,73.80,21,"Kenai Peninsula, Alaska"
nc,71306485,2,"Saturday, November  7, 2009 12:31:29 UTC",35.5658,-120.7995,1.1,8.10,13,"Central California"
ak,10019288,2,"Saturday, November  7, 2009 12:30:24 UTC",60.0186,-148.9165,1.6,6.00,11,"Kenai Peninsula, Alaska"
nc,71306480,2,"Saturday, November  7, 2009 12:23:54 UTC",38.8248,-122.8015,1.9,3.60,61,"Northern California"
ci,10493405,M,"Saturday, November  7, 2009 12:07:23 UTC",36.4148,-117.8425,2.0,6.70,17,"Central California"
ci,10493397,M,"Saturday, November  7, 2009 12:03:33 UTC",36.4153,-117.8401,1.9,6.80,13,"Central California"
ak,10019280,2,"Saturday, November  7, 2009 12:03:21 UTC",60.3830,-153.6241,3.0,189.90,62,"Southern Alaska"
ak,10019277,2,"Saturday, November  7, 2009 11:49:10 UTC",63.5681,-147.6874,1.8,1.80,31,"Central Alaska"
ak,10019672,2,"Saturday, November  7, 2009 11:46:19 UTC",64.8291,-155.1576,1.6,18.50, 8,"Central Alaska"
nc,71306460,2,"Saturday, November  7, 2009 11:45:28 UTC",38.4662,-122.7457,2.1,8.70,54,"Northern California"
ci,10493389,M,"Saturday, November  7, 2009 11:38:40 UTC",36.3950,-117.8668,2.0,6.70,17,"Central California"
nc,71306450,2,"Saturday, November  7, 2009 11:31:32 UTC",35.9950,-120.8775,1.1,3.90,12,"Central California"
ak,10019670,2,"Saturday, November  7, 2009 11:29:04 UTC",62.5172,-149.6815,1.4,60.80,17,"Central Alaska"
ci,10493381,M,"Saturday, November  7, 2009 11:10:15 UTC",32.2690,-115.1211,1.6,6.00,08,"Baja California, Mexico"
ak,10019275,2,"Saturday, November  7, 2009 11:08:52 UTC",63.5639,-147.2097,1.1,15.20,13,"Central Alaska"
us,2009nsap,7,"Saturday, November  7, 2009 11:04:43 UTC",14.0168,-91.6873,4.5,76.70,39,"offshore Guatemala"
us,2009nsam,7,"Saturday, November  7, 2009 10:59:38 UTC",14.7342,-91.8083,4.1,98.40,26,"Guatemala"
ak,10019274,2,"Saturday, November  7, 2009 10:55:37 UTC",61.7462,-149.6591,1.3,14.30,13,"Southern Alaska"
nm,hnw1107a,A,"Saturday, November  7, 2009 10:47:07 UTC",36.5359,-89.5977,1.8,8.30,22,"southeastern Missouri"
uw,11071044,1,"Saturday, November  7, 2009 10:44:50 UTC",47.5221,-123.1928,1.0,1.70,14,"Olympic Peninsula, Washington"
us,2009nsan,7,"Saturday, November  7, 2009 10:42:50 UTC",-7.5546,124.2348,4.7,337.60,20,"Banda Sea"
uw,11071041,1,"Saturday, November  7, 2009 10:41:12 UTC",46.1973,-122.1816,1.1,2.80,23,"Mount St. Helens area, Washington"
ak,10019666,2,"Saturday, November  7, 2009 10:37:02 UTC",61.2870,-147.2984,1.1,10.00,10,"Southern Alaska"
ci,10493373,M,"Saturday, November  7, 2009 10:26:49 UTC",34.1559,-118.5095,1.3,7.30,18,"Greater Los Angeles area, California"
nc,71306435,2,"Saturday, November  7, 2009 10:05:05 UTC",38.4680,-122.7448,2.3,8.30,76,"Northern California"
ak,10019664,2,"Saturday, November  7, 2009 09:48:44 UTC",63.4771,-148.2113,1.1,5.10,15,"Central Alaska"
ci,10493357,M,"Saturday, November  7, 2009 09:42:41 UTC",34.2243,-118.4071,2.0,11.40,45,"Greater Los Angeles area, California"
ak,10019272,2,"Saturday, November  7, 2009 09:21:34 UTC",59.8929,-152.2569,1.9,74.30,24,"Southern Alaska"
