Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10019830,2,"Tuesday, November 10, 2009 01:43:46 UTC",62.4847,-151.7786,1.0,9.40,11,"Central Alaska"
ak,10019583,2,"Tuesday, November 10, 2009 01:40:09 UTC",62.1318,-141.7918,1.4,24.90,12,"Central Alaska"
ak,10019581,2,"Tuesday, November 10, 2009 01:36:39 UTC",61.2910,-150.1128,1.6,33.30,13,"Southern Alaska"
nc,71312651,2,"Tuesday, November 10, 2009 01:19:34 UTC",38.3798,-119.6842,2.2,1.10,39,"Northern California"
ak,10019579,2,"Tuesday, November 10, 2009 01:12:17 UTC",63.9242,-148.9266,1.5,0.00,14,"Central Alaska"
ak,10019826,2,"Tuesday, November 10, 2009 01:04:04 UTC",61.7678,-153.8692,1.6,1.50,10,"Southern Alaska"
ak,10019577,2,"Tuesday, November 10, 2009 00:50:28 UTC",64.9978,-147.3590,1.0,0.00, 7,"Central Alaska"
nc,71312641,2,"Tuesday, November 10, 2009 00:49:04 UTC",35.6932,-121.0295,1.4,6.80,29,"Central California"
us,2009nvae,6,"Tuesday, November 10, 2009 00:45:54 UTC",-41.0996,44.3796,4.9,10.00,17,"Crozet Islands region"
nc,71312636,2,"Tuesday, November 10, 2009 00:45:29 UTC",35.7150,-121.3783,2.2,4.40,52,"offshore Central California"
ci,10494893,M,"Tuesday, November 10, 2009 00:37:20 UTC",35.1228,-119.0755,1.7,15.00,11,"Central California"
nc,71312631,2,"Tuesday, November 10, 2009 00:36:25 UTC",38.8325,-122.8107,1.0,2.70,39,"Northern California"
us,2009nvai,6,"Tuesday, November 10, 2009 00:29:43 UTC",52.2518,-168.6253,4.9,45.10,118,"Fox Islands, Aleutian Islands, Alaska"
nc,71312626,5,"Tuesday, November 10, 2009 00:16:23 UTC",37.8677,-121.9952,2.0,9.70,85,"San Francisco Bay area, California"
ak,10019822,2,"Tuesday, November 10, 2009 00:15:36 UTC",63.1149,-149.0883,1.1,73.20,12,"Central Alaska"
ci,10494885,M,"Tuesday, November 10, 2009 00:03:56 UTC",35.0403,-117.6681,2.2,0.00,15,"Southern California"
ci,10494877,M,"Monday, November  9, 2009 23:42:05 UTC",34.6928,-116.2965,1.2,4.40,11,"Southern California"
ak,10019569,2,"Monday, November  9, 2009 23:41:39 UTC",63.2477,-151.0771,1.4,9.40,16,"Central Alaska"
nc,71312616,2,"Monday, November  9, 2009 23:36:58 UTC",38.4023,-122.6952,1.6,8.30,32,"Northern California"
uu,11092324,2,"Monday, November  9, 2009 23:24:14 UTC",39.7050,-111.2540,1.4,7.00, 7,"Utah"
ak,10019956,2,"Monday, November  9, 2009 23:22:17 UTC",61.5562,-146.0498,1.2,38.80,11,"Southern Alaska"
nc,71312596,2,"Monday, November  9, 2009 23:15:37 UTC",35.9978,-120.8453,1.0,11.20,24,"Central California"
ak,10019568,2,"Monday, November  9, 2009 23:03:10 UTC",60.9421,-146.5320,1.4,12.00,16,"Southern Alaska"
uu,11092253,2,"Monday, November  9, 2009 22:53:59 UTC",39.7038,-111.2472,1.7,9.80,15,"Utah"
nc,71312581,0,"Monday, November  9, 2009 22:52:04 UTC",38.8232,-122.7995,1.0,2.80,18,"Northern California"
nc,71312576,2,"Monday, November  9, 2009 22:49:32 UTC",38.7920,-122.7568,1.1,2.40,42,"Northern California"
uu,11092246,2,"Monday, November  9, 2009 22:46:43 UTC",39.7078,-111.2527,2.0,5.10,21,"Utah"
uu,11092237,2,"Monday, November  9, 2009 22:37:16 UTC",40.7277,-111.7700,1.6,1.60, 9,"Wasatch Front Urban Corridor, Utah"
hv,00035833,0,"Monday, November  9, 2009 22:35:24 UTC",19.3367,-155.1290,2.5,4.10, 0,"Island of Hawaii, Hawaii"
ci,10494869,M,"Monday, November  9, 2009 22:28:34 UTC",34.6953,-116.3035,1.2,4.30,14,"Southern California"
ak,10019954,2,"Monday, November  9, 2009 22:25:45 UTC",54.5138,-161.5206,2.0,13.40,08,"Alaska Peninsula"
uw,11092207,1,"Monday, November  9, 2009 22:07:23 UTC",46.0648,-122.0718,1.0,15.10,20,"Washington"
uu,11092152,2,"Monday, November  9, 2009 21:52:37 UTC",41.9450,-111.7900,1.5,3.00,16,"Utah"
ci,10494853,M,"Monday, November  9, 2009 21:36:55 UTC",34.3421,-117.6068,1.6,11.10,37,"Southern California"
ak,10019952,2,"Monday, November  9, 2009 21:31:30 UTC",62.0950,-150.3957,1.2,5.80,12,"Central Alaska"
us,2009nubw,6,"Monday, November  9, 2009 21:29:40 UTC",47.0123,152.8247,4.8,59.20,66,"Kuril Islands"
ak,10019951,2,"Monday, November  9, 2009 21:17:09 UTC",53.8653,-166.8010,1.6,9.00,08,"Fox Islands, Aleutian Islands, Alaska"
uu,11092116,2,"Monday, November  9, 2009 21:16:52 UTC",44.8045,-110.2763,1.7,4.10, 6,"Yellowstone National Park, Wyoming"
ci,10494837,M,"Monday, November  9, 2009 20:58:37 UTC",34.6945,-116.2986,2.4,5.60,33,"Southern California"
ak,10019519,2,"Monday, November  9, 2009 20:56:41 UTC",63.8470,-148.4810,1.5,105.90,22,"Central Alaska"
ci,10494829,M,"Monday, November  9, 2009 20:35:16 UTC",34.6926,-116.3023,2.8,5.50,32,"Southern California"
ak,10019516,2,"Monday, November  9, 2009 20:34:08 UTC",61.3192,-150.7316,1.8,52.60,30,"Southern Alaska"
ak,10019514,2,"Monday, November  9, 2009 20:29:48 UTC",60.8329,-138.5540,2.3,2.70,24,"Southern Yukon Territory, Canada"
ak,10019513,2,"Monday, November  9, 2009 19:42:31 UTC",63.3415,-145.3580,1.5,2.40,15,"Central Alaska"
us,2009nubk,6,"Monday, November  9, 2009 19:41:26 UTC",-7.3229,129.1215,5.2,157.40,18,"Kepulauan Babar, Indonesia"
ak,10019942,2,"Monday, November  9, 2009 19:06:14 UTC",51.6512,-178.9304,2.3,84.20,10,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10019940,2,"Monday, November  9, 2009 18:53:42 UTC",60.0840,-152.4934,1.6,94.40,10,"Southern Alaska"
ak,10019939,2,"Monday, November  9, 2009 18:40:14 UTC",51.6835,-179.1510,1.7,9.40,08,"Andreanof Islands, Aleutian Islands, Alaska"
nc,71307380,2,"Monday, November  9, 2009 18:32:15 UTC",38.5863,-122.6950,1.5,2.20,34,"Northern California"
nc,71307365,2,"Monday, November  9, 2009 18:13:31 UTC",36.5843,-121.1842,1.4,1.90,23,"Central California"
ak,10019937,2,"Monday, November  9, 2009 18:13:28 UTC",60.1601,-152.8301,1.9,104.90,18,"Southern Alaska"
uu,00004549,3,"Monday, November  9, 2009 17:49:15 UTC",44.7090,-110.2773,3.1,3.10,23,"Yellowstone National Park, Wyoming"
ci,10494749,M,"Monday, November  9, 2009 17:06:18 UTC",31.9786,-117.0996,2.6,6.00,13,"offshore Baja California, Mexico"
nc,71307330,4,"Monday, November  9, 2009 17:02:39 UTC",39.3052,-122.7850,1.4,8.30,11,"Northern California"
ak,10019936,2,"Monday, November  9, 2009 16:54:57 UTC",62.0589,-153.4773,1.4,10.20,10,"Central Alaska"
nc,71307325,2,"Monday, November  9, 2009 16:53:55 UTC",40.5320,-122.0233,1.6,15.00,13,"Northern California"
ak,10019504,2,"Monday, November  9, 2009 16:48:40 UTC",61.7745,-149.6410,1.6,36.90,20,"Southern Alaska"
ci,10494733,M,"Monday, November  9, 2009 16:37:48 UTC",32.6481,-115.6225,1.5,7.50,10,"Baja California, Mexico"
nc,71307320,2,"Monday, November  9, 2009 16:35:44 UTC",37.5295,-118.5912,1.7,13.50,40,"Central California"
us,2009nubb,7,"Monday, November  9, 2009 16:02:40 UTC",-4.4539,144.3018,5.3,135.10,80,"near the north coast of New Guinea, Papua New Guinea"
ci,10494693,M,"Monday, November  9, 2009 15:54:13 UTC",35.9591,-117.8813,1.9,6.60,35,"Central California"
nc,71307300,2,"Monday, November  9, 2009 15:49:34 UTC",38.7925,-122.7635,1.0,1.70,20,"Northern California"
nc,71307295,2,"Monday, November  9, 2009 15:30:48 UTC",40.3197,-124.4447,2.1,18.70, 9,"offshore Northern California"
ci,10494685,M,"Monday, November  9, 2009 15:10:45 UTC",36.3955,-117.8658,1.2,4.20,18,"Central California"
ak,10019497,2,"Monday, November  9, 2009 15:09:20 UTC",61.6171,-146.4472,1.9,33.00,38,"Southern Alaska"
ci,10494669,M,"Monday, November  9, 2009 15:06:56 UTC",32.6571,-115.6228,2.0,8.50,18,"Southern California"
ci,10138802,M,"Monday, November  9, 2009 15:06:34 UTC",32.6101,-115.6013,1.1,12.60,07,"Baja California, Mexico"
ci,10494677,M,"Monday, November  9, 2009 15:06:00 UTC",32.6139,-115.5986,1.4,6.30,13,"Baja California, Mexico"
ak,10019496,2,"Monday, November  9, 2009 15:02:57 UTC",51.8899,-177.9370,1.6,2.40,08,"Andreanof Islands, Aleutian Islands, Alaska"
ci,10494661,M,"Monday, November  9, 2009 14:59:17 UTC",32.6535,-115.6371,1.6,5.20,14,"Southern California"
ci,10494645,1,"Monday, November  9, 2009 14:58:22 UTC",32.6510,-115.6598,1.6,4.50,11,"Baja California, Mexico"
ci,10494653,M,"Monday, November  9, 2009 14:58:22 UTC",32.6411,-115.6271,1.2,5.40,09,"Baja California, Mexico"
ci,10494637,M,"Monday, November  9, 2009 14:52:51 UTC",32.6505,-115.6353,2.4,5.10,28,"Baja California, Mexico"
nc,71307280,2,"Monday, November  9, 2009 14:39:14 UTC",38.7658,-122.7322,1.1,2.40,32,"Northern California"
ci,10494613,1,"Monday, November  9, 2009 14:38:16 UTC",34.0050,-116.3181,1.4,11.20,23,"Southern California"
ak,10019495,2,"Monday, November  9, 2009 14:18:34 UTC",62.3009,-151.8294,1.8,99.20,24,"Central Alaska"
ak,10019493,2,"Monday, November  9, 2009 14:11:39 UTC",62.9586,-151.0780,1.6,115.80,26,"Central Alaska"
ci,10494605,M,"Monday, November  9, 2009 14:07:29 UTC",36.4300,-117.9046,1.1,6.30,18,"Central California"
us,2009nua9,S,"Monday, November  9, 2009 13:55:22 UTC",-17.3252,178.4510,4.5,588.00,40,"Fiji"
nc,71307275,2,"Monday, November  9, 2009 13:43:55 UTC",37.4733,-121.5533,1.0,8.80,15,"Northern California"
us,2009nuay,Q,"Monday, November  9, 2009 13:19:55 UTC",-17.2856,178.5170,4.9,612.20,74,"Fiji"
ak,10019927,2,"Monday, November  9, 2009 13:19:09 UTC",51.2241,-178.5011,2.4,20.60,13,"Andreanof Islands, Aleutian Islands, Alaska"
ak,10019482,2,"Monday, November  9, 2009 13:07:49 UTC",61.9602,-147.9162,3.0,36.30,83,"Southern Alaska"
nc,71307255,3,"Monday, November  9, 2009 12:57:14 UTC",39.0313,-123.1142,1.4,4.80,12,"Northern California"
ci,10494589,M,"Monday, November  9, 2009 12:50:07 UTC",36.3995,-117.8680,1.1,4.50,14,"Central California"
nm,hnw1109b,A,"Monday, November  9, 2009 12:44:41 UTC",35.1920,-90.1648,2.5,6.80,17,"Arkansas"
ci,10494581,M,"Monday, November  9, 2009 12:22:22 UTC",33.1426,-115.6075,1.1,5.40,15,"Southern California"
ak,10019925,2,"Monday, November  9, 2009 11:49:42 UTC",60.9427,-147.3152,1.4,15.50,12,"Southern Alaska"
ci,10494565,M,"Monday, November  9, 2009 11:42:52 UTC",36.0695,-118.3171,1.5,4.70,27,"Central California"
ak,10019478,2,"Monday, November  9, 2009 11:10:20 UTC",61.4944,-146.5954,1.8,26.10,22,"Southern Alaska"
ak,10019476,3,"Monday, November  9, 2009 11:02:28 UTC",51.1442,-178.4457,3.7,16.00,23,"Andreanof Islands, Aleutian Islands, Alaska"
nn,00297492,2,"Monday, November  9, 2009 11:02:05 UTC",39.7850,-114.8640,3.0,7.80, 6,"Nevada"
us,2009nuam,7,"Monday, November  9, 2009 10:44:54 UTC",-17.2119,178.4127,7.2,585.10,194,"Fiji"
nc,71030574,5,"Monday, November  9, 2009 10:39:25 UTC",38.7715,-122.7457,1.5,2.90,21,"Northern California"
